"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000335","0x029","00","recorder RX","RX 01 04 payload 0x24"
"000335","0x02A","00","recorder RX","RX 01 04 payload 0x25"
"000335","0x02B","00","recorder RX","RX 01 04 payload 0x26"
"000335","0x02C","00","recorder RX","RX 01 04 payload 0x27"
"000335","0x02D","00","recorder RX","RX 01 04 payload 0x28"
"000335","0x02E","00","recorder RX","RX 01 04 payload 0x29"
"000335","0x02F","00","recorder RX","RX 01 04 payload 0x2A"
"000335","0x030","00","recorder RX","RX 01 04 payload 0x2B"
"000335","0x031","00","recorder RX","RX 01 04 payload 0x2C"
"000335","0x032","00","recorder RX","RX 01 04 payload 0x2D"
"000335","0x033","00","recorder RX","RX 01 04 payload 0x2E"
"000335","0x034","00","recorder RX","RX 01 04 payload 0x2F"
"000335","0x035","00","recorder RX","RX 01 04 payload 0x30"
"000335","0x036","00","recorder RX","RX 01 04 payload 0x31"
"000335","0x037","00","recorder RX","RX 01 04 payload 0x32"
"000335","0x038","00","recorder RX","RX 01 04 payload 0x33"
"000335","0x039","00","recorder RX","RX 01 04 payload 0x34"
"000335","0x03A","00","recorder RX","RX 01 04 payload 0x35"
"000335","0x03B","00","recorder RX","RX 01 04 payload 0x36"
"000335","0x03C","00","recorder RX","RX 01 04 payload 0x37"
"000335","0x03D","00","recorder RX","RX 01 04 payload 0x38"
"000335","0x03E","00","recorder RX","RX 01 04 payload 0x39"
"000335","0x03F","00","recorder RX","RX 01 04 payload 0x3A"
"000335","0x040","00","recorder RX","RX 01 04 payload 0x3B"
"000335","0x041","00","recorder RX","RX 01 04 payload 0x3C"
"000335","0x042","00","recorder RX","RX 01 04 payload 0x3D"
"000335","0x043","00","recorder RX","RX 01 04 payload 0x3E"
"000335","0x044","00","recorder RX","RX 01 04 payload 0x3F"
"000335","0x045","00","recorder RX","RX 01 04 payload 0x40"
"000335","0x046","00","recorder RX","RX 01 04 payload 0x41"
"000335","0x047","00","recorder RX","RX 01 04 payload 0x42"
"000335","0x048","00","recorder RX","RX 01 04 payload 0x43"
"000335","0x049","00","recorder RX","RX 01 04 payload 0x44"
